Quantify Compound Summary Report ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Printed Tue Aug 07 11:35:48 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 1:  PFBA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Standard Concentration,RT,Area,IS Area,IS RT,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
Compound 2:  PFPeA(Perfluoro-n-pentanoic acid),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,7.71,128.449,15711.499,,0.008,bb,23.3,16.3,116.3,86.853
2,JR_080218_07,50,Standard,50,,,25528.33,,,,,,,
3,JR_080218_08,100,Standard,100,7.74,1277.82,36232.238,,0.035,bb,117.3,17.3,117.3,2352.948
4,JR_080218_09,250,Standard,250,7.73,3490.678,37585.789,,0.093,bb,317.4,27,127,2485.838
5,JR_080218_10,500,Standard,500,7.76,5940.633,29763.789,,0.2,bbX,688,37.6,137.6,818.103
6,JR_080218_11,be,Recovery,500,8.15,5911.171,44215.324,,0.134,bb,459.2,-8.2,91.8,1994.864
7,JR_080218_12,2000,Standard,2000,7.79,30442.238,45125.832,,0.675,bb,2337.8,16.9,116.9,53538.908
8,JR_080218_13,10000,Standard,10000,7.78,96092.461,34765.348,,2.764,bb,9594.3,-4.1,95.9,13858.706
9,JR_080218_62,NG pblnk,,,,,23576.674,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,19443.645,,,MM-I,,,,
11,JR_080218_64,NG tris n=2,,,,,19709.668,,,MM-I,,,,
12,JR_080218_65,NG tris n=3,,,,,6485.077,,,MM-I,,,,
13,JR_080218_66,NG tris n=4,,,,,3644.448,,,,,,,
14,JR_080218_67,NG EDTA,,,,,17671.703,,,,,,,
15,JR_080218_68,NG PBS,,,,,16907.121,,,,,,,
16,JR_080218_69,NG ???,,,,,21258.729,,,,,,,
17,JR_080218_70,sblnk,,,,,44956.84,,,,,,,
18,JR_080218_71,50,,,7.45,821.847,50986.41,,0.016,bb,50.8,,,376.554
19,JR_080218_72,100,,,7.45,1364.671,49028.965,,0.028,bb,91.5,,,2074.25
20,JR_080218_77,sblnk,,,7.5,41.148,46123.84,,0.001,bbI,,,,33.299
21,JR_080218_78,20,Standard,20,7.48,300.22,46318.898,,0.006,bb,17.4,-13.2,86.8,123.622
22,JR_080218_79,20,Standard,20,7.46,227.678,47201.797,,0.005,bb,11.6,-42,58,41.188
23,JR_080218_80,50,Standard,50,7.48,586.26,44386.598,,0.013,bb,40.7,-18.5,81.5,165.924
24,JR_080218_81,100,Standard,100,7.45,1034.501,34084.449,,0.03,bb,100.3,0.3,100.3,808.028
,,,,,,,,,,,,,,
Compound 3:  PFHxA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,Percent Recovery,S/N
1,JR_080218_06,20,Standard,20,9.3,277.125,3268.387,,0.085,bbX,35,75,175,13.786
2,JR_080218_07,50,Standard,50,,,4401.509,,,MM-I,,,,
3,JR_080218_08,100,Standard,100,9.34,895.454,4152.183,,0.216,bb,106.3,6.3,106.3,87.97
4,JR_080218_09,250,Standard,250,9.26,1994.896,4071.459,,0.49,bb,255.8,2.3,102.3,0
5,JR_080218_10,500,Standard,500,9.3,4274.7,3987.628,,1.072,bb,572.9,14.6,114.6,367.76
6,JR_080218_11,be,Recovery,500,9.61,3955.828,4888.974,,0.809,bb,429.7,-14.1,85.9,119.814
7,JR_080218_12,2000,Standard,2000,9.38,14856.241,3691.025,,4.025,bb,2182.1,9.1,109.1,220.902
8,JR_080218_13,10000,Standard,10000,9.34,43834,2446.801,,17.915,bb,9751,-2.5,97.5,1357.781
9,JR_080218_62,NG pblnk,,,,,1653.354,,,MM-I,,,,
10,JR_080218_63,NG tris n=1,,,,,1264.573,,,MM-I,,,,
11,JR_080218_64,NG tris n=2,,,9.34,554.715,1223.95,,0.453,MM,235.8,,,12.824
12,JR_080218_65,NG tris n=3,,,,,365.76,,,MM-I,,,,
13,JR_080218_66,NG tris n=4,,,,,182.016,,,,,,,
14,JR_080218_67,NG EDTA,,,,,1017.25,,,,,,,
15,JR_080218_68,NG PBS,,,,,962.843,,,MM-I,,,,
16,JR_080218_69,NG ???,,,,,1413.245,,,MM-I,,,,
17,JR_080218_70,sblnk,,,,,4682.988,,,MM-I,,,,
18,JR_080218_71,50,,,8.98,653.525,5440.448,,0.12,MM,54.3,,,28.997
19,JR_080218_72,100,,,9.03,800.767,5039.837,,0.159,bb,75.4,,,184.095
20,JR_080218_77,sblnk,,,,,4474.4,,,MM-I,,,,
21,JR_080218_78,20,Standard,20,9.03,208.615,4358.118,,0.048,bb,14.9,-25.6,74.4,8.431
22,JR_080218_79,20,Standard,20,9.01,289.608,4451.404,,0.065,bb,24.2,21.2,121.2,102.157
23,JR_080218_80,50,Standard,50,9.03,438.517,4511.007,,0.097,bb,41.8,-16.5,83.5,27.648
24,JR_080218_81,100,Standard,100,8.98,702.179,3744.058,,0.188,MM,91,-9,91,89.916
,,,,,,,,,,,,,,
Compound 4:  PFHpA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,11.23,178.342,3268.387,,0.055,MMX,27.9,39.5,139.5,74.791
2,JR_080218_07,50,Standard,50,,,4401.509,,,,,,,
3,JR_080218_08,100,Standard,100,11.23,1141.743,4152.183,,0.275,MM,132.4,32.4,132.4,303.792
4,JR_080218_09,250,Standard,250,11.16,2771.561,4071.459,,0.681,MM,324.6,29.9,129.9,738.312
5,JR_080218_10,500,Standard,500,11.25,5348.702,3987.628,,1.341,MM,637.7,27.5,127.5,334.114
6,JR_080218_11,be,Recovery,500,11.37,4513.678,4888.974,,0.923,bb,439.6,-12.1,87.9,703.857
7,JR_080218_12,2000,Standard,2000,11.28,17747.506,3691.025,,4.808,MM,2280.7,14,114,6330.703
8,JR_080218_13,10000,Standard,10000,11.21,49034.223,2446.801,,20.04,MM,9498.9,-5,95,5647.676
9,JR_080218_62,NG pblnk,,,11.18,77.34,1653.354,,0.047,MM,24.2,,,15.725
10,JR_080218_63,NG tris n=1,,,,,1264.573,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,1223.95,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,365.76,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,182.016,,,,,,,
14,JR_080218_67,NG EDTA,,,,,1017.25,,,MM-,,,,
15,JR_080218_68,NG PBS,,,,,962.843,,,,,,,
16,JR_080218_69,NG ???,,,,,1413.245,,,,,,,
17,JR_080218_70,sblnk,,,,,4682.988,,,,,,,
18,JR_080218_71,50,,,10.91,542.163,5440.448,,0.1,MM,49.3,,,348.295
19,JR_080218_72,100,,,11,820.934,5039.837,,0.163,MM,79.2,,,356.452
20,JR_080218_77,sblnk,,,,,4474.4,,,,,,,
21,JR_080218_78,20,Standard,20,10.98,129.728,4358.118,,0.03,MM,16.1,-19.3,80.7,24.444
22,JR_080218_79,20,Standard,20,11,67.976,4451.404,,0.015,MM,9.3,-53.6,46.4,28.925
23,JR_080218_80,50,Standard,50,11,302.1,4511.007,,0.067,MM,33.8,-32.4,67.6,155.532
24,JR_080218_81,100,Standard,100,10.98,825.462,3744.058,,0.22,MM,106.5,6.5,106.5,757.952
,,,,,,,,,,,,,,
Compound 5:  PFOA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,13.3,106.753,5442.257,,0.02,MM,18.7,-6.3,93.7,44.933
2,JR_080218_07,50,Standard,50,,,5870.628,,,,,,,
3,JR_080218_08,100,Standard,100,13.33,923.293,6158.138,,0.15,MMX,140.9,40.9,140.9,205.99
4,JR_080218_09,250,Standard,250,13.25,1690.201,4940.354,,0.342,MM,321.1,28.4,128.4,370.175
5,JR_080218_10,500,Standard,500,13.35,3520.873,5147.941,,0.684,bb,641.5,28.3,128.3,0
6,JR_080218_11,be,Recovery,500,13.38,2801.477,5958.723,,0.47,bb,441.1,-11.8,88.2,785.403
7,JR_080218_12,2000,Standard,2000,13.38,11483.106,4526.833,,2.537,bb,2378.5,18.9,118.9,4247.143
8,JR_080218_13,10000,Standard,10000,13.33,36384.988,3620.552,,10.05,MM,9421.7,-5.8,94.2,10345.46
9,JR_080218_62,NG pblnk,,,,,1725.644,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1454.792,,,MM-,,,,
11,JR_080218_64,NG tris n=2,,,,,1049.226,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,348.243,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,288.506,,,,,,,
14,JR_080218_67,NG EDTA,,,,,887.661,,,,,,,
15,JR_080218_68,NG PBS,,,,,1180.069,,,MM-,,,,
16,JR_080218_69,NG ???,,,,,1102.998,,,MM-,,,,
17,JR_080218_70,sblnk,,,,,5128.213,,,,,,,
18,JR_080218_71,50,,,13.02,503.652,6324.632,,0.08,MM,75,,,122.577
19,JR_080218_72,100,,,13.15,494.378,4603.825,,0.107,MM,101,,,139.789
20,JR_080218_77,sblnk,,,,,5315.332,,,,,,,
21,JR_080218_78,20,Standard,20,13.08,50.965,5592.895,,0.009,MM,8.9,-55.6,44.4,13.389
22,JR_080218_79,20,Standard,20,13.05,77.737,4755.922,,0.016,MM,15.7,-21.7,78.3,57.98
23,JR_080218_80,50,Standard,50,13.18,290.261,4581.262,,0.063,MM,59.7,19.5,119.5,132.029
24,JR_080218_81,100,Standard,100,13.13,453.029,4525.069,,0.1,MM,94.2,-5.8,94.2,0
,,,,,,,,,,,,,,
Compound 6:  PFNA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,15.56,44.473,3607.839,,0.012,bb,16,-20.1,79.9,19.213
2,JR_080218_07,50,Standard,50,,,4560.963,,,MM-,,,,
3,JR_080218_08,100,Standard,100,15.58,709.826,4008.326,,0.177,bb,119.7,19.7,119.7,14.173
4,JR_080218_09,250,Standard,250,15.5,2065.311,3791.643,,0.545,bbX,351.3,40.5,140.5,0
5,JR_080218_10,500,Standard,500,15.67,3158.981,3211.317,,0.984,bb,627.8,25.6,125.6,0
6,JR_080218_11,be,Recovery,500,15.58,2728.994,4227.393,,0.646,bb,414.8,-17,83,155.102
7,JR_080218_12,2000,Standard,2000,15.61,10764.92,3068.904,,3.508,bb,2217.6,10.9,110.9,7139.466
8,JR_080218_13,10000,Standard,10000,15.58,38139.883,2485.462,,15.345,bb,9673.7,-3.3,96.7,2020.352
9,JR_080218_62,NG pblnk,,,,,1205.323,,,MM-,,,,
10,JR_080218_63,NG tris n=1,,,,,780.249,,,MM-,,,,
11,JR_080218_64,NG tris n=2,,,,,796.045,,,MM-,,,,
12,JR_080218_65,NG tris n=3,,,,,198.271,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,118.43,,,,,,,
14,JR_080218_67,NG EDTA,,,,,552.265,,,,,,,
15,JR_080218_68,NG PBS,,,,,868.722,,,MM-,,,,
16,JR_080218_69,NG ???,,,,,1077.805,,,,,,,
17,JR_080218_70,sblnk,,,,,3427.229,,,MM-,,,,
18,JR_080218_71,50,,,15.3,296.81,4589.911,,0.065,bb,48.9,,,52.289
19,JR_080218_72,100,,,15.4,367.793,3254.67,,0.113,bb,79.4,,,45.903
20,JR_080218_77,sblnk,,,,,4029.244,,,,,,,
21,JR_080218_78,20,Standard,20,15.35,65.796,3560.928,,0.018,bb,19.8,-0.8,99.2,30.233
22,JR_080218_79,20,Standard,20,15.4,67.183,3182.046,,0.021,bb,21.5,7.5,107.5,7.099
23,JR_080218_80,50,Standard,50,15.45,206.865,3380.96,,0.061,bb,46.7,-6.5,93.5,30.776
24,JR_080218_81,100,Standard,100,15.64,318.844,3416.565,,0.093,bb,67,-33,67,0
,,,,,,,,,,,,,,
Compound 7:  PFDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,17.83,26.406,4750.038,,0.006,bbX,10.5,-47.3,52.7,0
2,JR_080218_07,50,Standard,50,,,5454.045,,,,,,,
3,JR_080218_08,100,Standard,100,17.8,658.712,4900.742,,0.134,bb,105.6,5.6,105.6,380.421
4,JR_080218_09,250,Standard,250,17.75,1876.536,4752.476,,0.395,bb,297.7,19.1,119.1,0
5,JR_080218_10,500,Standard,500,18.06,4261.763,4489.962,,0.949,bbX,706.6,41.3,141.3,0
6,JR_080218_11,be,Recovery,500,17.83,3234.542,5316.277,,0.608,bb,455.3,-8.9,91.1,2467.606
7,JR_080218_12,2000,Standard,2000,17.83,12782.584,3951.229,,3.235,bb,2392.9,19.6,119.6,3257.92
8,JR_080218_13,10000,Standard,10000,17.83,37646.516,2915.447,,12.913,bb,9531.9,-4.7,95.3,6265.706
9,JR_080218_62,NG pblnk,,,,,1467.135,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,751.961,,,MM-,,,,
11,JR_080218_64,NG tris n=2,,,,,821.279,,,MM-,,,,
12,JR_080218_65,NG tris n=3,,,,,185.638,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,79.366,,,,,,,
14,JR_080218_67,NG EDTA,,,17.8,10.593,713.807,,0.015,MM,17.4,,,13.039
15,JR_080218_68,NG PBS,,,,,696.532,,,,,,,
16,JR_080218_69,NG ???,,,,,879.683,,,,,,,
17,JR_080218_70,sblnk,,,,,4686.465,,,,,,,
18,JR_080218_71,50,,,17.62,374.178,5269.716,,0.071,bb,58.8,,,139.392
19,JR_080218_72,100,,,17.7,444.36,4017.043,,0.111,bb,88,,,6.841
20,JR_080218_77,sblnk,,,,,3883.269,,,,,,,
21,JR_080218_78,20,Standard,20,17.67,52.282,4635.721,,0.011,bb,14.8,-26.2,73.8,4.218
22,JR_080218_79,20,Standard,20,17.64,11.097,4353.916,,0.003,bb,8.3,-58.4,41.6,16.553
23,JR_080218_80,50,Standard,50,17.7,242.515,3607.085,,0.067,MM,56,12.1,112.1,66.202
24,JR_080218_81,100,Standard,100,17.83,692.143,4040.68,,0.171,bb,132.8,32.8,132.8,0
,,,,,,,,,,,,,,
Compound 8:  PFUnDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,3703.098,,,,,,,
2,JR_080218_07,50,Standard,50,,,4400.592,,,,,,,
3,JR_080218_08,100,Standard,100,19.91,779.538,4735.921,,0.165,bb,118.9,18.9,118.9,0
4,JR_080218_09,250,Standard,250,19.86,2190.123,3945.203,,0.555,bb,407.5,63,163,0
5,JR_080218_10,500,Standard,500,20.07,2982.387,4601.41,,0.648,bb,476.2,-4.8,95.2,0
6,JR_080218_11,be,Recovery,500,,,4608.784,,,,,,,
7,JR_080218_12,2000,Standard,2000,19.89,10652.935,3276.71,,3.251,bb,2399.7,20,120,0
8,JR_080218_13,10000,Standard,10000,19.91,40138.16,3133.659,,12.809,bb,9462.5,-5.4,94.6,0
9,JR_080218_62,NG pblnk,,,,,877.225,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,608.742,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,545.232,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,91.904,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,169.191,,,,,,,
14,JR_080218_67,NG EDTA,,,,,516.497,,,,,,,
15,JR_080218_68,NG PBS,,,,,865.41,,,,,,,
16,JR_080218_69,NG ???,,,,,908.373,,,,,,,
17,JR_080218_70,sblnk,,,,,,,,,,,,
18,JR_080218_71,50,,,19.76,256.346,4514.559,,0.057,bb,39.2,,,0
19,JR_080218_72,100,,,19.76,347.828,3481.291,,0.1,bb,71.1,,,277.836
20,JR_080218_77,sblnk,,,,,4242.812,,,,,,,
21,JR_080218_78,20,Standard,20,19.81,79.759,4046.798,,0.02,bb,11.9,-40.7,59.3,21.624
22,JR_080218_79,20,Standard,20,19.7,51.489,3725.858,,0.014,bb,7.5,-62.5,37.5,0
23,JR_080218_80,50,Standard,50,19.81,300.056,3794.232,,0.079,bb,55.7,11.5,111.5,87.764
24,JR_080218_81,100,Standard,100,,,3818.042,,,,,,,
,,,,,,,,,,,,,,
Compound 9:  PFDoDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,21.89,109.825,5103.579,,0.022,bb,17.5,-12.4,87.6,6.375
2,JR_080218_07,50,Standard,50,,,5408.954,,,,,,,
3,JR_080218_08,100,Standard,100,21.92,896.599,5364.299,,0.167,bb,112.3,12.3,112.3,51.54
4,JR_080218_09,250,Standard,250,21.87,2354.78,5028.69,,0.468,bb,308.4,23.4,123.4,1192.748
5,JR_080218_10,500,Standard,500,22.03,5578.266,5427.392,,1.028,bb,672.7,34.5,134.5,144.59
6,JR_080218_11,be,Recovery,500,,,6069.282,,,,,,,
7,JR_080218_12,2000,Standard,2000,21.94,17078.629,5008.919,,3.41,bb,2223.4,11.2,111.2,304.974
8,JR_080218_13,10000,Standard,10000,21.92,74813.672,5095.7,,14.682,bb,9562.2,-4.4,95.6,6338.357
9,JR_080218_62,NG pblnk,,,,,1586.703,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1022.214,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,1100.857,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,190.376,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,129.298,,,,,,,
14,JR_080218_67,NG EDTA,,,,,799.906,,,,,,,
15,JR_080218_68,NG PBS,,,,,968.681,,,,,,,
16,JR_080218_69,NG ???,,,,,1040.718,,,,,,,
17,JR_080218_70,sblnk,,,,,4659.394,,,,,,,
18,JR_080218_71,50,,,21.72,405.496,6234.62,,0.065,bb,45.9,,,10.952
19,JR_080218_72,100,,,21.81,645.107,4741.825,,0.136,bb,92.1,,,0
20,JR_080218_77,sblnk,,,,,5520.436,,,,,,,
21,JR_080218_78,20,Standard,20,21.76,117.791,5902.835,,0.02,bb,16.5,-17.5,82.5,14.342
22,JR_080218_79,20,Standard,20,21.79,89.222,4850.332,,0.018,bb,15.5,-22.6,77.4,0
23,JR_080218_80,50,Standard,50,21.84,280.552,4513.178,,0.062,bb,44,-12,88,53.222
24,JR_080218_81,100,Standard,100,21.82,620.708,4808.189,,0.129,bb,87.6,-12.4,87.6,0
,,,,,,,,,,,,,,
Compound 10:  PFTrDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,23.79,161.95,5103.579,,0.032,bb,23.7,18.5,118.5,34.735
2,JR_080218_07,50,Standard,50,23.83,14.027,5408.954,,0.003,bb,7.4,-85.1,14.9,18.23
3,JR_080218_08,100,Standard,100,23.88,1051.92,5364.299,,0.196,bb,115.4,15.4,115.4,310.98
4,JR_080218_09,250,Standard,250,23.84,2871.041,5028.69,,0.571,bb,324.7,29.9,129.9,959.155
5,JR_080218_10,500,Standard,500,23.95,6758.251,5427.392,,1.245,bb,701.1,40.2,140.2,509.52
6,JR_080218_11,be,Recovery,500,,,6069.282,,,,,,,
7,JR_080218_12,2000,Standard,2000,23.94,20809.752,5008.919,,4.155,bb,2325,16.3,116.3,7538.327
8,JR_080218_13,10000,Standard,10000,23.91,86125.313,5095.7,,16.902,bb,9440.4,-5.6,94.4,7489.115
9,JR_080218_62,NG pblnk,,,,,1586.703,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1022.214,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,1100.857,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,190.376,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,129.298,,,,,,,
14,JR_080218_67,NG EDTA,,,,,799.906,,,,,,,
15,JR_080218_68,NG PBS,,,,,968.681,,,,,,,
16,JR_080218_69,NG ???,,,,,1040.718,,,,,,,
17,JR_080218_70,sblnk,,,,,4659.394,,,,,,,
18,JR_080218_71,50,,,23.76,630.94,6234.62,,0.101,bb,62.5,,,3839.19
19,JR_080218_72,100,,,23.71,693.841,4741.825,,0.146,bb,87.7,,,535.777
20,JR_080218_77,sblnk,,,,,5520.436,,,,,,,
21,JR_080218_78,20,Standard,20,23.76,150.439,5902.835,,0.025,bb,20.2,1,101,119.06
22,JR_080218_79,20,Standard,20,23.82,70.878,4850.332,,0.015,bb,14.1,-29.3,70.7,61.843
23,JR_080218_80,50,Standard,50,23.74,444.286,4513.178,,0.098,bb,60.9,21.9,121.9,79.549
24,JR_080218_81,100,Standard,100,23.76,611.568,4808.189,,0.127,bb,77,-23,77,11.799
,,,,,,,,,,,,,,
Compound 11:  PFTeDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,5103.579,,,,,,,
2,JR_080218_07,50,Standard,50,,,5408.954,,,,,,,
3,JR_080218_08,100,Standard,100,25.26,11.561,5364.299,,0.002,bbI,,-100,0,6.503
4,JR_080218_09,250,Standard,250,25.24,75.061,5028.69,,0.015,bb,473.3,89.3,189.3,85.708
5,JR_080218_10,500,Standard,500,25.24,19.705,5427.392,,0.004,bbI,,-100,0,4.618
6,JR_080218_11,be,Recovery,500,,,6069.282,,,,,,,
7,JR_080218_12,2000,Standard,2000,25.26,71.957,5008.919,,0.014,bb,445.8,-77.7,22.3,3.941
8,JR_080218_13,10000,Standard,10000,25.27,1205.223,5095.7,,0.237,bb,11347.9,13.5,113.5,59.736
9,JR_080218_62,NG pblnk,,,,,1586.703,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1022.214,,,,,,,
11,JR_080218_64,NG tris n=2,,,24.66,15.327,1100.857,,0.014,bb,424,,,4.086
12,JR_080218_65,NG tris n=3,,,,,190.376,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,129.298,,,,,,,
14,JR_080218_67,NG EDTA,,,,,799.906,,,,,,,
15,JR_080218_68,NG PBS,,,,,968.681,,,,,,,
16,JR_080218_69,NG ???,,,,,1040.718,,,,,,,
17,JR_080218_70,sblnk,,,,,4659.394,,,,,,,
18,JR_080218_71,50,,,25.21,29.377,6234.62,,0.005,bbI,,,,0
19,JR_080218_72,100,,,25.22,95.152,4741.825,,0.02,bb,725.5,,,3.959
20,JR_080218_77,sblnk,,,,,5520.436,,,,,,,
21,JR_080218_78,20,Standard,20,,,5902.835,,,,,,,
22,JR_080218_79,20,Standard,20,25.25,11.156,4850.332,,0.002,bbI,,-100,0,0
23,JR_080218_80,50,Standard,50,25.24,46.143,4513.178,,0.01,bb,242.5,385,485,29.73
24,JR_080218_81,100,Standard,100,25.22,112.747,4808.189,,0.023,bb,891.5,791.5,891.5,45.91
,,,,,,,,,,,,,,
Compound 12:  PFPeDA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,5103.579,,,,,,,
2,JR_080218_07,50,Standard,50,,,5408.954,,,,,,,
3,JR_080218_08,100,Standard,100,,,5364.299,,,,,,,
4,JR_080218_09,250,Standard,250,,,5028.69,,,,,,,
5,JR_080218_10,500,Standard,500,,,5427.392,,,,,,,
6,JR_080218_11,be,Recovery,500,,,6069.282,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,5008.919,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,5095.7,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1586.703,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1022.214,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,1100.857,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,190.376,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,129.298,,,,,,,
14,JR_080218_67,NG EDTA,,,,,799.906,,,,,,,
15,JR_080218_68,NG PBS,,,,,968.681,,,,,,,
16,JR_080218_69,NG ???,,,,,1040.718,,,,,,,
17,JR_080218_70,sblnk,,,,,4659.394,,,,,,,
18,JR_080218_71,50,,,,,6234.62,,,,,,,
19,JR_080218_72,100,,,,,4741.825,,,,,,,
20,JR_080218_77,sblnk,,,,,5520.436,,,,,,,
21,JR_080218_78,20,Standard,20,,,5902.835,,,,,,,
